
% time 5.0000
% report fiber:force
% identity      posX      posY    forceX    forceY   tension
%   fiber f1:0001
         3   -6.2573  -13.6450    0.0000    0.0000    0.6970
         3   -6.1275  -13.4921    0.0000    0.0000    0.6900
         3   -5.9977  -13.3394    0.0000    0.0000    0.6830
         3   -5.8677  -13.1867    0.0000    0.0000    0.6760
         3   -5.7376  -13.0341    0.0000    0.0000    0.6690
         3   -5.6074  -12.8817    0.0000    0.0000    0.6620
         3   -5.4771  -12.7293    0.0000    0.0000    0.6550
         3   -5.3467  -12.5770    0.0000    0.0000    0.6480
         3   -5.2161  -12.4249    0.0000    0.0000    0.6410
         3   -5.0854  -12.2728    0.0000    0.0000    0.6340
         3   -4.9547  -12.1209    0.0000    0.0000    0.6271
         3   -4.8237  -11.9690    0.0000    0.0000    0.6201
         3   -4.6927  -11.8173    0.0000    0.0000    0.6131
         3   -4.5616  -11.6656    0.0000    0.0000    0.6061
         3   -4.4303  -11.5140    0.0000    0.0000    0.5991
         3   -4.2990  -11.3626    0.0000    0.0000    0.5921
         3   -4.1675  -11.2112    0.0000    0.0000    0.5851
         3   -4.0360  -11.0599    0.0000    0.0000    0.5781
         3   -3.9043  -10.9087    0.0000    0.0000    0.5711
         3   -3.7725  -10.7576    0.0000    0.0000    0.5641
         3   -3.6407  -10.6066    0.0000    0.0000    0.5572
         3   -3.5087  -10.4557    0.0000    0.0000    0.5502
         3   -3.3766  -10.3048    0.0000    0.0000    0.5432
         3   -3.2444  -10.1541    0.0000    0.0000    0.5362
         3   -3.1121  -10.0034    0.0000    0.0000    0.5292
         3   -2.9797   -9.8528    0.0000    0.0000    0.5222
         3   -2.8473   -9.7023    0.0000    0.0000    0.5152
         3   -2.7147   -9.5519    0.0000    0.0000    0.5082
         3   -2.5821   -9.4016    0.0000    0.0000    0.5013
         3   -2.4493   -9.2513   -0.5732   -0.2096    1.0309
         3   -2.3164   -9.1012   -0.0564   -1.0470    1.8453
         3   -2.1835   -8.9511    0.7916    1.3724    0.2861
         3   -2.0505   -8.8011    0.0000    0.0000    0.2790
         3   -1.9174   -8.6511    0.0000    0.0000    0.2718
         3   -1.7842   -8.5013    0.0000    0.0000    0.2647
         3   -1.6509   -8.3516    0.0000    0.0000    0.2576
         3   -1.5174   -8.2019    0.0000    0.0000    0.2505
         3   -1.3839   -8.0524    0.0000    0.0000    0.2434
         3   -1.2502   -7.9030    0.0000    0.0000    0.2362
         3   -1.1165   -7.7536    0.0000    0.0000    0.2291
         3   -0.9826   -7.6043    0.0000    0.0000    0.2220
         3   -0.8486   -7.4552    0.0000    0.0000    0.2149
         3   -0.7146   -7.3061    0.0000    0.0000    0.2078
         3   -0.5804   -7.1571    0.0000    0.0000    0.2006
         3   -0.4462   -7.0082    0.0000    0.0000    0.1935
         3   -0.3118   -6.8593    0.0000    0.0000    0.1864
         3   -0.1774   -6.7106    0.0000    0.0000    0.1793
         3   -0.0428   -6.5620    0.0000    0.0000    0.1721
         3    0.0918   -6.4135    0.0000    0.0000    0.1650
         3    0.2266   -6.2650    0.0000    0.0000    0.1579
         3    0.3615   -6.1167    0.0000    0.0000    0.1508
         3    0.4965   -5.9684    0.0000    0.0000    0.1437
         3    0.6316   -5.8203    0.0000    0.0000    0.1365
         3    0.7667   -5.6722    0.0000    0.0000    0.1294
         3    0.9020   -5.5242    0.0000    0.0000    0.1223
         3    1.0374   -5.3763    0.0000    0.0000    0.1152
         3    1.1728   -5.2285    0.0000    0.0000    0.1081
         3    1.3083   -5.0807    0.0000    0.0000    0.1009
         3    1.4439   -4.9331    0.0000    0.0000    0.0938
         3    1.5796   -4.7854    0.0000    0.0000    0.0867
         3    1.7154   -4.6379    0.0000    0.0000    0.0796
         3    1.8512   -4.4905    0.0000    0.0000    0.0725
         3    1.9871   -4.3431    0.0000    0.0000    0.0653
         3    2.1231   -4.1957    0.0000    0.0000    0.0582
         3    2.2591   -4.0484    0.0000    0.0000    0.0511
         3    2.3952   -3.9012    0.0000    0.0000    0.0440
         3    2.5313   -3.7540    0.0000    0.0000    0.0369
         3    2.6675   -3.6068    0.0000    0.0000    0.0297
         3    2.8037   -3.4597    0.0000    0.0000    0.0226
         3    2.9399   -3.3125    0.0000    0.0000    0.0155
         3    3.0761   -3.1654    0.0000    0.0000    0.0084
         3    3.2123   -3.0184    0.0000    0.0000    0.0013
         3    3.3486   -2.8713    0.1128   -0.1125    0.0000
%   fiber f1:0004
         4   28.6516    1.0293    0.0000    0.0000   -0.0005
         4   28.4523    1.0055    0.0000    0.0000   -0.0010
         4   28.2530    0.9817    0.0000    0.0000   -0.0014
         4   28.0537    0.9580    0.0000    0.0000   -0.0019
         4   27.8543    0.9342    0.0000    0.0000   -0.0024
         4   27.6550    0.9105    0.0000    0.0000   -0.0029
         4   27.4557    0.8868    0.0000    0.0000   -0.0033
         4   27.2564    0.8631    0.0000    0.0000   -0.0038
         4   27.0571    0.8395    0.0000    0.0000   -0.0043
         4   26.8578    0.8158    0.0000    0.0000   -0.0048
         4   26.6584    0.7922    0.0000    0.0000   -0.0052
         4   26.4591    0.7686    0.0000    0.0000   -0.0057
         4   26.2598    0.7449    0.0000    0.0000   -0.0062
         4   26.0605    0.7214    0.0000    0.0000   -0.0067
         4   25.8611    0.6978    0.0000    0.0000   -0.0072
         4   25.6618    0.6742    0.0000    0.0000   -0.0076
         4   25.4625    0.6507    0.0000    0.0000   -0.0081
         4   25.2631    0.6271    0.0000    0.0000   -0.0086
         4   25.0638    0.6036    0.0000    0.0000   -0.0091
         4   24.8645    0.5801    0.0000    0.0000   -0.0095
         4   24.6651    0.5566    0.0000    0.0000   -0.0100
         4   24.4658    0.5332    0.0000    0.0000   -0.0105
         4   24.2665    0.5097    0.0000    0.0000   -0.0110
         4   24.0671    0.4861    0.0000    0.0000   -0.0115
         4   23.8678    0.4626    0.0000    0.0000   -0.0119
         4   23.6685    0.4391    0.0000    0.0000   -0.0124
         4   23.4691    0.4156    0.0000    0.0000   -0.0129
         4   23.2698    0.3920    0.0000    0.0000   -0.0134
         4   23.0705    0.3684    0.0000    0.0000   -0.0138
         4   22.8711    0.3448    0.0000    0.0000   -0.0143
         4   22.6718    0.3212    0.0000    0.0000   -0.0148
         4   22.4725    0.2976    0.0000    0.0000   -0.0153
         4   22.2732    0.2740    0.0000    0.0000   -0.0157
         4   22.0738    0.2503    0.0000    0.0000   -0.0162
         4   21.8745    0.2267    0.0000    0.0000   -0.0167
         4   21.6752    0.2030    0.0000    0.0000   -0.0172
         4   21.4759    0.1793    0.0000    0.0000   -0.0177
